order_id,customer,product,order_qty,order_date,delivery_date,status,amount
ORD0001,苏州精工,电机外壳,704,2026-03-21,2026-04-15,延期,75328
ORD0002,苏州精工,传动轴,2870,2026-04-15,2026-05-09,生产中,215250
ORD0003,远航科技,传动轴,5098,2026-02-16,2026-03-14,延期,1228618
ORD0004,金陵机电,传动轴,4918,2026-02-17,2026-02-27,延期,998354
ORD0005,金陵机电,电机外壳,5319,2026-02-14,2026-03-10,延期,1063800
ORD0006,北方工业,传动轴,5177,2026-02-11,2026-03-23,延期,579824
ORD0007,远航科技,电机外壳,5244,2026-02-15,2026-02-28,延期,1263804
ORD0008,华东制造,精密齿轮,2516,2026-02-10,2026-02-22,延期,523328
ORD0009,海川装备,精密齿轮,2952,2026-01-31,2026-02-16,延期,247968
ORD0010,华东制造,电机外壳,3232,2026-04-09,2026-05-05,生产中,294112
ORD0011,海川装备,电机外壳,4355,2026-03-28,2026-04-19,延期,1127945
ORD0012,北方工业,电机外壳,3655,2026-02-11,2026-03-05,延期,420325
ORD0013,远航科技,电机外壳,878,2026-03-25,2026-05-04,生产中,180868
ORD0014,海川装备,铝合金支架,4186,2026-03-23,2026-04-17,延期,891618
ORD0015,北方工业,精密齿轮,720,2026-03-06,2026-03-17,延期,51120
ORD0016,远航科技,液压阀体,1062,2026-02-01,2026-02-13,延期,258066
ORD0017,苏州精工,铝合金支架,3749,2026-03-31,2026-04-14,已完成,753549
ORD0018,远航科技,铝合金支架,2237,2026-03-11,2026-04-06,延期,306469
ORD0019,远航科技,液压阀体,4466,2026-03-21,2026-05-03,未开始,902132
ORD0020,金陵机电,铝合金支架,1434,2026-04-17,2026-05-22,未开始,250950
ORD0021,苏州精工,电机外壳,2202,2026-02-04,2026-02-27,延期,257634
ORD0022,苏州精工,传动轴,2667,2026-02-04,2026-02-26,延期,421386
ORD0023,海川装备,铝合金支架,1247,2026-02-24,2026-03-28,延期,192038
ORD0024,金陵机电,精密齿轮,1573,2026-03-20,2026-04-27,未开始,358644
ORD0025,苏州精工,控制面板,4668,2026-03-22,2026-04-27,生产中,807564
ORD0026,金陵机电,液压阀体,4374,2026-03-08,2026-04-11,延期,957906
ORD0027,华东制造,控制面板,959,2026-03-19,2026-04-20,延期,139055
ORD0028,恒通设备,控制面板,5313,2026-03-18,2026-04-24,延期,1200738
ORD0029,金陵机电,控制面板,3903,2026-04-03,2026-04-25,已完成,323949
ORD0030,远航科技,液压阀体,1017,2026-02-03,2026-03-14,延期,232893
ORD0031,苏州精工,精密齿轮,674,2026-04-19,2026-05-20,生产中,75488
ORD0032,华东制造,控制面板,2449,2026-02-09,2026-03-11,延期,132246
ORD0033,苏州精工,铝合金支架,1102,2026-04-15,2026-05-15,未开始,225910
ORD0034,金陵机电,铝合金支架,3766,2026-03-03,2026-03-19,延期,489580
ORD0035,海川装备,电机外壳,3368,2026-02-13,2026-03-18,延期,266072
ORD0036,苏州精工,铝合金支架,4478,2026-02-07,2026-03-17,延期,698568
ORD0037,苏州精工,铝合金支架,1939,2026-04-09,2026-05-13,生产中,360654
ORD0038,北方工业,传动轴,3362,2026-03-12,2026-03-31,延期,369820
ORD0039,北方工业,电机外壳,3383,2026-02-20,2026-03-06,延期,436407
ORD0040,金陵机电,控制面板,3673,2026-03-04,2026-04-04,延期,819079
ORD0041,金陵机电,液压阀体,5924,2026-03-06,2026-03-24,延期,1196648
ORD0042,北方工业,精密齿轮,4813,2026-04-21,2026-05-22,生产中,1183998
ORD0043,海川装备,传动轴,2734,2026-02-27,2026-04-10,延期,237858
ORD0044,远航科技,电机外壳,2850,2026-02-24,2026-03-14,延期,695400
ORD0045,苏州精工,液压阀体,1201,2026-02-17,2026-03-22,已完成,80467
ORD0046,金陵机电,精密齿轮,3762,2026-02-15,2026-03-27,延期,428868
ORD0047,远航科技,电机外壳,2433,2026-02-02,2026-03-07,延期,345486
